,Country (or dependent territory),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
183,United Kingdom,1182997.0,1235086.0,1273729.0,1139199.0,1220824.0,1320618.0,1394478.0,1537558.0,1623794.0,1652539.0,1638702.0,1613588.0,1760454.0,2030626.0,2390268.0,2511165.0,2682213.0,3064351.0,2898941.0,2377160.0,2431169.0,2611108.0,2655458.0,2721489.0,3002394.0,2863304.0,2660687.0,2639974.0,2828644.0,2829163.0
184,United States,5979575.0,6174050.0,6539300.0,6878700.0,7308775.0,7664050.0,8100175.0,8608525.0,9089150.0,9660625.0,10284750.0,10621825.0,10977525.0,11510675.0,12274925.0,13093700.0,13855900.0,14477625.0,14718575.0,14418725.0,14964400.0,15517925.0,16155250.0,16691500.0,17393100.0,18120700.0,18624450.0,19485400.0,20494050.0,21344667.0
185,Uruguay,10270.0,12376.0,14223.0,16568.0,19299.0,21312.0,22657.0,23974.0,25394.0,23995.0,22832.0,20907.0,13632.0,12067.0,13708.0,17398.0,19620.0,23461.0,30366.0,31661.0,40285.0,47962.0,51266.0,57531.0,57236.0,53107.0,52420.0,59180.0,60180.0,60231.0
186,Uzbekistan,,,3571.0,5502.0,6521.0,10168.0,13922.0,14705.0,14948.0,17041.0,13717.0,11632.0,9657.0,10129.0,12001.0,14310.0,17027.0,22307.0,28605.0,33461.0,38963.0,45418.0,51185.0,57170.0,63179.0,65403.0,66693.0,48826.0,41241.0,49199.0
187,Vanuatu,169.0,201.0,209.0,200.0,234.0,249.0,261.0,273.0,262.0,268.0,272.0,258.0,263.0,314.0,365.0,395.0,439.0,526.0,608.0,610.0,701.0,792.0,782.0,802.0,815.0,738.0,798.0,870.0,928.0,942.0
188,Venezuela,48391.0,53382.0,60400.0,59865.0,58357.0,77427.0,70536.0,85667.0,91905.0,97239.0,117676.0,123156.0,95570.0,83670.0,112189.0,143290.0,177531.0,221817.0,289741.0,237294.0,294282.0,334069.0,331457.0,228017.0,215296.0,260089.0,236116.0,143841.0,98468.0,76458.0
189,Vietnam,6472.0,7642.0,9867.0,13181.0,16312.0,20798.0,24692.0,26892.0,27234.0,28702.0,31176.0,32524.0,35097.0,39563.0,49520.0,57648.0,66393.0,77520.0,98269.0,101634.0,112771.0,134576.0,155483.0,170444.0,185759.0,191288.0,201309.0,220376.0,241272.0,260301.0
190,Yemen,12644.0,14665.0,17959.0,21737.0,28019.0,12796.0,6496.0,6838.0,6322.0,7639.0,9679.0,9853.0,10693.0,11778.0,13868.0,16732.0,19063.0,21651.0,26911.0,25130.0,30907.0,32726.0,35401.0,40415.0,43229.0,37734.0,20901.0,26819.0,26914.0,29079.0
191,Zambia,4085.0,3690.0,3614.0,3549.0,3657.0,3799.0,3599.0,4303.0,3538.0,3405.0,3601.0,4094.0,4194.0,4902.0,6221.0,8332.0,12757.0,14057.0,17911.0,15328.0,20265.0,23460.0,25504.0,28046.0,27151.0,21243.0,20941.0,25868.0,25179.0,24615.0
192,Zimbabwe,8780.0,8180.0,6746.0,6552.0,6889.0,7152.0,8758.0,8990.0,10572.0,10275.0,9896.0,9743.0,9294.0,8196.0,8135.0,7753.0,7180.0,6946.0,5949.0,8157.0,9445.0,10956.0,12472.0,13490.0,14197.0,14171.0,16117.0,21890.0,26127.0,22290.0
