,Country (or dependent territory),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
46,Dominica,201.0,220.0,234.0,246.0,264.0,275.0,292.0,303.0,322.0,332.0,333.0,340.0,333.0,343.0,367.0,364.0,390.0,421.0,458.0,489.0,494.0,501.0,486.0,508.0,528.0,517.0,581.0,553.0,494.0,542.0
47,Dominican Republic,8544.0,10565.0,12328.0,13878.0,15501.0,17537.0,19399.0,20954.0,22650.0,23213.0,25665.0,26638.0,28302.0,22585.0,23411.0,36183.0,38337.0,44067.0,48206.0,48319.0,53893.0,58023.0,60703.0,62061.0,65322.0,68197.0,71673.0,76091.0,80940.0,84837.0
48,Ecuador,12236.0,13730.0,15012.0,17537.0,21147.0,22968.0,24035.0,27009.0,27474.0,19740.0,18319.0,24468.0,28549.0,32433.0,36592.0,41507.0,46802.0,51008.0,61763.0,62520.0,69555.0,79277.0,87925.0,95130.0,102292.0,100177.0,98614.0,104296.0,107511.0,106289.0
49,Egypt,96087.0,48431.0,44168.0,49526.0,54550.0,63260.0,71114.0,79770.0,89188.0,95039.0,104752.0,102273.0,90261.0,85163.0,82855.0,94127.0,112902.0,137055.0,170797.0,198316.0,230024.0,247726.0,278769.0,288007.0,305567.0,332075.0,332484.0,236528.0,249559.0,299589.0
50,El Salvador,4801.0,5311.0,5955.0,6938.0,8086.0,9501.0,10316.0,11135.0,12008.0,12465.0,13134.0,13813.0,14307.0,15047.0,15798.0,17094.0,18551.0,20105.0,21431.0,20661.0,21418.0,23139.0,23814.0,24351.0,25054.0,25850.0,26798.0,24928.0,26057.0,26989.0
51,Equatorial Guinea,147.0,145.0,177.0,178.0,132.0,186.0,305.0,580.0,486.0,814.0,1371.0,1915.0,2368.0,3256.0,5781.0,9064.0,10087.0,13072.0,19750.0,15028.0,16299.0,21329.0,22390.0,21943.0,21504.0,13819.0,10178.0,12287.0,13734.0,12432.0
52,Eritrea,,,783.0,483.0,560.0,624.0,749.0,767.0,809.0,794.0,706.0,752.0,729.0,870.0,1109.0,1098.0,1211.0,1318.0,1380.0,1857.0,2117.0,2608.0,3092.0,3502.0,4052.0,4666.0,5005.0,5813.0,6721.0,7718.0
53,Estonia,,,,1739.0,2435.0,3797.0,4745.0,5072.0,5621.0,5741.0,5706.0,6260.0,7345.0,9852.0,12071.0,14024.0,16987.0,22265.0,24285.0,19712.0,19538.0,23191.0,23057.0,25089.0,26255.0,22472.0,23348.0,26665.0,30312.0,31026.0
54,Ethiopia,12595.0,13928.0,14696.0,9143.0,8135.0,8431.0,8826.0,8909.0,8078.0,7927.0,8235.0,8223.0,7851.0,8623.0,10142.0,12408.0,15283.0,19701.0,26839.0,32464.0,29917.0,31958.0,43134.0,47656.0,55512.0,64683.0,73151.0,75745.0,80279.0,90968.0
55,Fiji,1337.0,1384.0,1532.0,1635.0,1825.0,1970.0,2129.0,2094.0,1656.0,1942.0,1684.0,1660.0,1843.0,2316.0,2727.0,3007.0,3103.0,3405.0,3647.0,2971.0,3251.0,3775.0,3972.0,4190.0,4470.0,4391.0,4666.0,4891.0,5118.0,5324.0
56,Finland,141806.0,128279.0,113104.0,89323.0,103761.0,134350.0,132155.0,127005.0,134111.0,135403.0,125908.0,129361.0,140047.0,171398.0,197035.0,204786.0,216742.0,255739.0,285087.0,252137.0,248262.0,273925.0,256849.0,270065.0,273042.0,232556.0,238776.0,252809.0,275321.0,276572.0
57,France,1278666.0,1280302.0,1412100.0,1331659.0,1404479.0,1611198.0,1614708.0,1462606.0,1512957.0,1502245.0,1372452.0,1383406.0,1505649.0,1851660.0,2126995.0,2207450.0,2327052.0,2666805.0,2937321.0,2700658.0,2651772.0,2865304.0,2682901.0,2809390.0,2843673.0,2434787.0,2466472.0,2587682.0,2775252.0,2761633.0
58,Gabon,6339.0,5754.0,5955.0,5757.0,4463.0,5281.0,6064.0,5673.0,4774.0,4966.0,5397.0,5019.0,5310.0,6497.0,7756.0,9459.0,10154.0,12439.0,15509.0,12152.0,14359.0,18203.0,17181.0,17596.0,18209.0,14370.0,14020.0,14922.0,17033.0,16709.0
59,Gambia,751.0,793.0,855.0,916.0,907.0,948.0,989.0,1025.0,1052.0,1080.0,1052.0,1045.0,924.0,879.0,1003.0,1078.0,1071.0,1274.0,1613.0,1488.0,1630.0,1398.0,1423.0,1367.0,1259.0,1370.0,1445.0,1483.0,1617.0,1741.0
60,Georgia,,,,,827.0,1907.0,3063.0,3511.0,3607.0,2805.0,3057.0,3218.0,3396.0,3991.0,5126.0,6411.0,7745.0,10173.0,12795.0,10767.0,11638.0,14435.0,15847.0,16141.0,16515.0,13996.0,14330.0,15080.0,16324.0,17214.0
